visit_id,customer_id,service_date,service_type,technician_name,issue_found,followup_required,visit_value,notes
VIS-30001,CUST-0003,2025-12-26,monthly_maintenance,Mei Chen,sump evaporation swings,false,42,service visit should feel routine and stabilize the account
VIS-30002,CUST-0003,2026-01-11,monthly_maintenance,Mei Chen,feeding schedule drifted between staff,false,90,service visit should feel routine and stabilize the account
VIS-30003,CUST-0003,2026-01-29,monthly_maintenance,Ari Patel,feeding schedule drifted between staff,false,148,service visit should feel routine and stabilize the account
VIS-30004,CUST-0004,2025-12-11,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,true,149,service visit should feel routine and stabilize the account
VIS-30005,CUST-0004,2025-12-12,monthly_maintenance,Ari Patel,sump evaporation swings,true,54,service visit should feel routine and stabilize the account
VIS-30006,CUST-0004,2026-04-22,monthly_maintenance,Rosa Kim,top-off reservoir running dry,false,90,service visit should feel routine and stabilize the account
VIS-30007,CUST-0005,2025-11-07,monthly_maintenance,Nora Bell,filter sock clogged,true,420,service visit should feel routine and stabilize the account
VIS-30008,CUST-0005,2025-12-06,monthly_maintenance,Ari Patel,top-off reservoir running dry,true,420,service visit should feel routine and stabilize the account
VIS-30009,CUST-0005,2026-01-01,monthly_maintenance,Ari Patel,top-off reservoir running dry,true,420,service visit should feel routine and stabilize the account
VIS-30010,CUST-0005,2026-01-29,monthly_maintenance,Nora Bell,feeding schedule drifted between staff,false,420,service visit should feel routine and stabilize the account
VIS-30011,CUST-0005,2026-02-28,monthly_maintenance,Nora Bell,sump evaporation swings,true,420,service visit should feel routine and stabilize the account
VIS-30012,CUST-0005,2026-03-26,monthly_maintenance,Nora Bell,filter sock clogged,false,420,service visit should feel routine and stabilize the account
VIS-30013,CUST-0005,2026-04-26,monthly_maintenance,Ari Patel,feeding schedule drifted between staff,false,420,service visit should feel routine and stabilize the account
VIS-30014,CUST-0006,2025-11-07,monthly_maintenance,Luis Mendez,building access delayed until front desk opened,true,420,service visit should feel routine and stabilize the account
VIS-30015,CUST-0006,2025-12-08,monthly_maintenance,Nora Bell,building access delayed until front desk opened,true,420,service visit should feel routine and stabilize the account
VIS-30016,CUST-0006,2026-01-06,monthly_maintenance,Luis Mendez,building access delayed until front desk opened,true,420,service visit should feel routine and stabilize the account
VIS-30017,CUST-0006,2026-02-05,monthly_maintenance,Nora Bell,staff fed tank twice and water looked cloudy,true,420,service visit should feel routine and stabilize the account
VIS-30018,CUST-0006,2026-03-05,monthly_maintenance,Nora Bell,office manager asked for simpler weekly checklist,false,420,service visit should feel routine and stabilize the account
VIS-30019,CUST-0006,2026-04-01,monthly_maintenance,Luis Mendez,office manager asked for simpler weekly checklist,true,420,service visit should feel routine and stabilize the account
VIS-30020,CUST-0006,2026-04-28,monthly_maintenance,Ari Patel,building access delayed until front desk opened,true,420,service visit should feel routine and stabilize the account
VIS-30021,CUST-0007,2025-11-05,monthly_maintenance,Mei Chen,restaurant manager escalated appearance concerns same day,true,420,service visit should feel routine and stabilize the account
VIS-30022,CUST-0007,2025-11-14,emergency_rescue,Nora Bell,restaurant manager escalated appearance concerns same day,true,295,service visit should feel routine and stabilize the account
VIS-30023,CUST-0007,2025-12-03,monthly_maintenance,Mei Chen,display fish looked stressed under event lighting,false,420,service visit should feel routine and stabilize the account
VIS-30024,CUST-0007,2025-12-29,monthly_maintenance,Luis Mendez,restaurant manager escalated appearance concerns same day,true,420,service visit should feel routine and stabilize the account
VIS-30025,CUST-0007,2026-01-26,monthly_maintenance,Mei Chen,display fish looked stressed under event lighting,false,420,service visit should feel routine and stabilize the account
VIS-30026,CUST-0007,2026-02-26,monthly_maintenance,Ari Patel,restaurant manager escalated appearance concerns same day,true,420,service visit should feel routine and stabilize the account
VIS-30027,CUST-0007,2026-02-26,emergency_rescue,Nora Bell,restaurant manager escalated appearance concerns same day,true,295,service visit should feel routine and stabilize the account
VIS-30028,CUST-0007,2026-03-27,monthly_maintenance,Ari Patel,display fish looked stressed under event lighting,false,420,service visit should feel routine and stabilize the account
VIS-30029,CUST-0007,2026-04-25,monthly_maintenance,Ari Patel,restaurant manager escalated appearance concerns same day,true,420,service visit should feel routine and stabilize the account
VIS-30030,CUST-0008,2025-12-05,monthly_maintenance,Mei Chen,return pump noise flagged during walkthrough,true,62,install or partner-facing visit; handoff quality matters
VIS-30031,CUST-0008,2025-12-22,monthly_maintenance,Luis Mendez,return pump noise flagged during walkthrough,true,24,install or partner-facing visit; handoff quality matters
VIS-30032,CUST-0008,2026-03-23,monthly_maintenance,Luis Mendez,install partner waiting for handoff details,false,54,install or partner-facing visit; handoff quality matters
VIS-30033,CUST-0012,2025-11-09,biweekly_maintenance,Rosa Kim,top-off reservoir running dry,false,360,service visit should feel routine and stabilize the account
VIS-30034,CUST-0012,2025-11-22,biweekly_maintenance,Luis Mendez,filter sock clogged,false,360,service visit should feel routine and stabilize the account
VIS-30035,CUST-0012,2025-12-07,biweekly_maintenance,Mei Chen,feeding schedule drifted between staff,true,360,service visit should feel routine and stabilize the account
VIS-30036,CUST-0012,2025-12-20,biweekly_maintenance,Mei Chen,top-off reservoir running dry,false,360,service visit should feel routine and stabilize the account
VIS-30037,CUST-0012,2026-01-03,biweekly_maintenance,Luis Mendez,sump evaporation swings,true,360,service visit should feel routine and stabilize the account
VIS-30038,CUST-0012,2026-01-20,biweekly_maintenance,Luis Mendez,feeding schedule drifted between staff,true,360,service visit should feel routine and stabilize the account
VIS-30039,CUST-0012,2026-02-04,biweekly_maintenance,Luis Mendez,feeding schedule drifted between staff,true,360,service visit should feel routine and stabilize the account
VIS-30040,CUST-0012,2026-02-17,biweekly_maintenance,Luis Mendez,top-off reservoir running dry,false,360,service visit should feel routine and stabilize the account
VIS-30041,CUST-0012,2026-03-03,biweekly_maintenance,Ari Patel,feeding schedule drifted between staff,false,360,service visit should feel routine and stabilize the account
VIS-30042,CUST-0012,2026-03-20,biweekly_maintenance,Rosa Kim,feeding schedule drifted between staff,true,360,service visit should feel routine and stabilize the account
VIS-30043,CUST-0012,2026-04-05,biweekly_maintenance,Luis Mendez,feeding schedule drifted between staff,false,360,service visit should feel routine and stabilize the account
VIS-30044,CUST-0012,2026-04-17,biweekly_maintenance,Luis Mendez,sump evaporation swings,false,360,service visit should feel routine and stabilize the account
VIS-30045,CUST-0012,2026-05-01,biweekly_maintenance,Rosa Kim,sump evaporation swings,false,360,service visit should feel routine and stabilize the account
VIS-30046,CUST-0135,2025-11-02,monthly_maintenance,Mei Chen,sump evaporation swings,true,62,service visit should feel routine and stabilize the account
VIS-30047,CUST-0135,2026-01-03,monthly_maintenance,Ari Patel,sump evaporation swings,true,36,service visit should feel routine and stabilize the account
VIS-30048,CUST-0135,2026-02-16,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,false,128,service visit should feel routine and stabilize the account
VIS-30049,CUST-0136,2025-11-30,monthly_maintenance,Luis Mendez,sump evaporation swings,false,62,service visit should feel routine and stabilize the account
VIS-30050,CUST-0136,2026-02-05,monthly_maintenance,Luis Mendez,top-off reservoir running dry,false,18,service visit should feel routine and stabilize the account
VIS-30051,CUST-0136,2026-02-21,monthly_maintenance,Nora Bell,sump evaporation swings,true,62,service visit should feel routine and stabilize the account
VIS-30052,CUST-0137,2025-11-16,monthly_maintenance,Luis Mendez,filter sock clogged,true,24,service visit should feel routine and stabilize the account
VIS-30053,CUST-0137,2026-04-09,monthly_maintenance,Nora Bell,filter sock clogged,true,54,service visit should feel routine and stabilize the account
VIS-30054,CUST-0139,2026-01-18,monthly_maintenance,Ari Patel,top-off reservoir running dry,false,42,service visit should feel routine and stabilize the account
VIS-30055,CUST-0139,2026-02-19,monthly_maintenance,Luis Mendez,sump evaporation swings,false,18,service visit should feel routine and stabilize the account
VIS-30056,CUST-0140,2026-01-19,monthly_maintenance,Nora Bell,top-off reservoir running dry,true,149,service visit should feel routine and stabilize the account
VIS-30057,CUST-0141,2025-12-02,monthly_maintenance,Rosa Kim,sump evaporation swings,false,28,service visit should feel routine and stabilize the account
VIS-30058,CUST-0141,2026-04-14,monthly_maintenance,Luis Mendez,sump evaporation swings,true,90,service visit should feel routine and stabilize the account
VIS-30059,CUST-0141,2026-05-09,monthly_maintenance,Mei Chen,feeding schedule drifted between staff,true,28,service visit should feel routine and stabilize the account
VIS-30060,CUST-0142,2026-01-06,monthly_maintenance,Nora Bell,filter sock clogged,true,28,service visit should feel routine and stabilize the account
VIS-30061,CUST-0143,2025-11-01,monthly_maintenance,Mei Chen,top-off reservoir running dry,true,78,service visit should feel routine and stabilize the account
VIS-30062,CUST-0143,2026-03-25,monthly_maintenance,Nora Bell,sump evaporation swings,false,90,service visit should feel routine and stabilize the account
VIS-30063,CUST-0143,2026-05-04,monthly_maintenance,Ari Patel,sump evaporation swings,false,36,service visit should feel routine and stabilize the account
VIS-30064,CUST-0144,2026-03-14,monthly_maintenance,Luis Mendez,filter sock clogged,false,34,service visit should feel routine and stabilize the account
VIS-30065,CUST-0144,2026-05-04,monthly_maintenance,Ari Patel,filter sock clogged,false,42,service visit should feel routine and stabilize the account
VIS-30066,CUST-0145,2026-02-23,monthly_maintenance,Luis Mendez,sump evaporation swings,false,90,service visit should feel routine and stabilize the account
VIS-30067,CUST-0146,2025-11-14,monthly_maintenance,Nora Bell,top-off reservoir running dry,false,54,service visit should feel routine and stabilize the account
VIS-30068,CUST-0146,2026-02-09,monthly_maintenance,Mei Chen,top-off reservoir running dry,false,24,service visit should feel routine and stabilize the account
VIS-30069,CUST-0146,2026-03-24,monthly_maintenance,Luis Mendez,top-off reservoir running dry,true,42,service visit should feel routine and stabilize the account
VIS-30070,CUST-0146,2026-04-25,monthly_maintenance,Mei Chen,top-off reservoir running dry,true,132,service visit should feel routine and stabilize the account
VIS-30071,CUST-0147,2026-04-04,monthly_maintenance,Nora Bell,filter sock clogged,false,24,service visit should feel routine and stabilize the account
VIS-30072,CUST-0147,2026-04-21,monthly_maintenance,Rosa Kim,sump evaporation swings,true,128,service visit should feel routine and stabilize the account
VIS-30073,CUST-0148,2026-03-15,monthly_maintenance,Nora Bell,top-off reservoir running dry,true,189,service visit should feel routine and stabilize the account
VIS-30074,CUST-0149,2026-03-29,monthly_maintenance,Luis Mendez,filter sock clogged,false,24,service visit should feel routine and stabilize the account
VIS-30075,CUST-0150,2025-11-09,monthly_maintenance,Mei Chen,filter sock clogged,true,78,service visit should feel routine and stabilize the account
VIS-30076,CUST-0152,2025-11-19,monthly_maintenance,Rosa Kim,filter sock clogged,false,189,service visit should feel routine and stabilize the account
VIS-30077,CUST-0152,2026-04-22,monthly_maintenance,Mei Chen,sump evaporation swings,false,90,service visit should feel routine and stabilize the account
VIS-30078,CUST-0153,2025-11-09,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,true,132,service visit should feel routine and stabilize the account
VIS-30079,CUST-0153,2025-12-29,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,false,62,service visit should feel routine and stabilize the account
VIS-30080,CUST-0153,2025-12-29,monthly_maintenance,Ari Patel,top-off reservoir running dry,false,42,service visit should feel routine and stabilize the account
VIS-30081,CUST-0153,2026-02-13,monthly_maintenance,Mei Chen,top-off reservoir running dry,false,42,service visit should feel routine and stabilize the account
VIS-30082,CUST-0154,2026-03-17,monthly_maintenance,Nora Bell,filter sock clogged,true,54,service visit should feel routine and stabilize the account
VIS-30083,CUST-0154,2026-04-26,monthly_maintenance,Rosa Kim,sump evaporation swings,true,132,service visit should feel routine and stabilize the account
