delivery_id,order_id,route_date,route_zone,scheduled_window,delivered_at,status,temperature_flag,replacement_required,driver_notes
DEL-20001,ORD-10001,2025-11-04,downtown,15:00-17:00,2025-11-04T16:45:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20002,ORD-10002,2025-11-06,downtown,12:00-14:00,2025-11-06T13:49:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20003,ORD-10003,2025-11-18,downtown,15:00-17:00,2025-11-18T17:08:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20004,ORD-10004,2025-12-01,downtown,11:00-13:00,2025-12-01T12:10:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20005,ORD-10005,2025-12-04,downtown,12:00-14:00,2025-12-04T13:25:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20006,ORD-10006,2025-12-12,downtown,11:00-13:00,2025-12-12T13:51:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20007,ORD-10007,2025-12-26,downtown,11:00-13:00,2025-12-26T12:42:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20008,ORD-10008,2026-01-24,downtown,15:00-17:00,2026-01-24T16:27:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20009,ORD-10009,2026-02-13,downtown,15:00-17:00,2026-02-13T16:46:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20010,ORD-10010,2026-02-17,downtown,11:00-13:00,2026-02-17T14:37:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20011,ORD-10011,2026-03-01,downtown,12:00-14:00,2026-03-01T13:56:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20012,ORD-10012,2026-03-23,downtown,12:00-14:00,2026-03-23T14:04:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20013,ORD-10013,2026-04-02,downtown,15:00-17:00,2026-04-02T17:09:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20014,ORD-10014,2025-12-09,east-clinic,10:00-12:00,2025-12-09T12:47:00,delivered_late,stable,false,rush add-on after route packed
DEL-20015,ORD-10015,2026-01-04,east-clinic,12:00-14:00,2026-01-04T14:01:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20016,ORD-10016,2026-01-18,east-clinic,15:00-17:00,2026-01-18T16:35:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20017,ORD-10017,2026-01-23,east-clinic,15:00-17:00,2026-01-23T17:00:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20018,ORD-10018,2026-02-01,east-clinic,15:00-17:00,2026-02-01T16:18:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20019,ORD-10019,2026-02-10,east-clinic,10:00-12:00,2026-02-10T11:40:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20020,ORD-10020,2026-02-20,east-clinic,15:00-17:00,2026-02-20T17:55:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20021,ORD-10021,2026-03-23,east-clinic,10:00-12:00,2026-03-23T13:57:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20022,ORD-10025,2026-02-10,dayton-core,12:00-14:00,2026-02-10T13:55:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20023,ORD-10026,2026-03-15,dayton-core,10:00-12:00,2026-03-15T10:57:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20024,ORD-10027,2026-03-30,dayton-core,12:00-14:00,2026-03-30T13:44:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20025,ORD-10030,2026-02-11,south-belt,15:00-17:00,2026-02-11T16:19:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20026,ORD-10031,2026-02-17,south-belt,12:00-14:00,2026-02-17T14:49:00,delivered_late,cold_snap,true,cold pack held longer than expected due traffic
DEL-20027,ORD-10032,2026-02-25,south-belt,15:00-17:00,2026-02-25T19:22:00,missed_window,stable,true,customer not available during first attempt; second pass pushed outside safe window
DEL-20028,ORD-10033,2026-04-07,south-belt,12:00-14:00,2026-04-07T19:44:00,missed_window,stable,false,rush add-on after route packed
DEL-20029,ORD-10035,2026-05-07,south-belt,12:00-14:00,2026-05-07T13:33:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20030,ORD-10037,2025-11-11,columbus-outer,11:00-13:00,2025-11-11T12:31:00,delivered,high_heat,false,bag temperature elevated on arrival
DEL-20031,ORD-10056,2026-02-01,dayton-core,15:00-17:00,2026-02-01T18:02:00,delivered_late,cold_snap,true,cold pack held longer than expected due traffic
DEL-20032,ORD-10063,2026-02-05,north-river,10:00-12:00,2026-02-05T10:56:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20033,ORD-10064,2026-03-06,north-river,10:00-12:00,2026-03-06T11:25:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20034,ORD-10065,2026-03-20,north-river,15:00-17:00,2026-03-20T16:47:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20035,ORD-10067,2026-04-29,north-river,11:00-13:00,2026-04-29T13:00:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20036,ORD-10072,2025-12-05,west-lake,12:00-14:00,2025-12-05T13:39:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20037,ORD-10073,2025-12-23,west-lake,10:00-12:00,2025-12-23T11:46:00,delivered,stable,false,direct handoff; acclimation note reviewed
