order_id,order_date,customer_id,sku,quantity,unit_price,total_order_value,order_channel,rush_requested,fulfillment_type,notes
ORD-10001,2025-11-02,CUST-0001,CORL-ZOA-001,1,95,95,email,false,live_delivery,normal order; no manual override requested
ORD-10001,2025-11-02,CUST-0001,CORL-TOR-001,1,164,164,email,false,live_delivery,normal order; no manual override requested
ORD-10002,2025-11-04,CUST-0001,CORL-ZOA-001,1,95,95,phone,false,live_delivery,customer asked whether current tank maturity is enough for anemone
ORD-10002,2025-11-04,CUST-0001,CORL-ANO-001,1,132,132,phone,false,live_delivery,customer asked whether current tank maturity is enough for anemone
ORD-10002,2025-11-04,CUST-0001,CORL-HMR-001,1,128,128,phone,false,live_delivery,customer asked whether current tank maturity is enough for anemone
ORD-10003,2025-11-17,CUST-0001,EQUIP-QTN-001,1,172,172,concierge,false,live_delivery,normal order; no manual override requested
ORD-10003,2025-11-17,CUST-0001,FISH-TRG-001,1,149,149,concierge,false,live_delivery,normal order; no manual override requested
ORD-10003,2025-11-17,CUST-0001,INVT-SNA-001,2,24,48,concierge,false,live_delivery,normal order; no manual override requested
ORD-10004,2025-11-28,CUST-0001,INVT-SHR-003,3,48,144,web,false,live_delivery,normal order; no manual override requested
ORD-10004,2025-11-28,CUST-0001,FISH-WRS-001,1,42,42,web,false,live_delivery,normal order; no manual override requested
ORD-10004,2025-11-28,CUST-0001,EQUIP-QTN-001,1,172,172,web,false,live_delivery,normal order; no manual override requested
ORD-10005,2025-12-02,CUST-0001,INVT-SHR-002,2,16,32,phone,false,live_delivery,normal order; no manual override requested
ORD-10005,2025-12-02,CUST-0001,BNDL-CLR-001,1,84,84,phone,false,live_delivery,normal order; no manual override requested
ORD-10006,2025-12-09,CUST-0001,FISH-CLN-001,1,78,78,web,false,live_delivery,normal order; no manual override requested
ORD-10006,2025-12-09,CUST-0001,FISH-HWK-001,2,72,144,web,false,live_delivery,normal order; no manual override requested
ORD-10006,2025-12-09,CUST-0001,FISH-WRS-001,1,42,42,web,false,live_delivery,normal order; no manual override requested
ORD-10007,2025-12-24,CUST-0001,CORL-HMR-001,1,128,128,web,false,live_delivery,normal order; no manual override requested
ORD-10008,2026-01-22,CUST-0001,CORL-TOR-001,2,164,328,email,false,live_delivery,normal order; no manual override requested
ORD-10008,2026-01-22,CUST-0001,INVT-SNA-001,2,24,48,email,false,live_delivery,normal order; no manual override requested
ORD-10008,2026-01-22,CUST-0001,FISH-TNG-001,1,98,98,email,false,live_delivery,normal order; no manual override requested
ORD-10009,2026-02-13,CUST-0001,CORL-ZOA-001,2,95,190,phone,true,live_delivery,rush requested against current route pressure
ORD-10009,2026-02-13,CUST-0001,CORL-MSH-001,2,68,136,phone,true,live_delivery,rush requested against current route pressure
ORD-10010,2026-02-14,CUST-0001,FISH-CLN-001,1,78,78,email,false,live_delivery,normal order; no manual override requested
ORD-10010,2026-02-14,CUST-0001,CORL-HMR-001,1,128,128,email,false,live_delivery,normal order; no manual override requested
ORD-10010,2026-02-14,CUST-0001,INVT-SNA-001,3,24,72,email,false,live_delivery,normal order; no manual override requested
ORD-10011,2026-02-27,CUST-0001,FISH-TNG-001,1,98,98,concierge,false,live_delivery,normal order; no manual override requested
ORD-10011,2026-02-27,CUST-0001,INVT-SNA-001,3,24,72,concierge,false,live_delivery,normal order; no manual override requested
ORD-10011,2026-02-27,CUST-0001,FISH-CLN-001,1,78,78,concierge,false,live_delivery,normal order; no manual override requested
ORD-10012,2026-03-22,CUST-0001,FISH-WRS-001,2,42,84,concierge,false,live_delivery,normal order; no manual override requested
ORD-10012,2026-03-22,CUST-0001,CORL-TOR-001,1,164,164,concierge,false,live_delivery,normal order; no manual override requested
ORD-10012,2026-03-22,CUST-0001,BNDL-CLR-001,1,84,84,concierge,false,live_delivery,normal order; no manual override requested
ORD-10013,2026-03-31,CUST-0001,CORL-MNT-001,1,88,88,phone,false,live_delivery,normal order; no manual override requested
ORD-10013,2026-03-31,CUST-0001,INVT-SHR-001,2,34,68,phone,false,live_delivery,normal order; no manual override requested
ORD-10013,2026-03-31,CUST-0001,INVT-SHR-002,2,16,32,phone,false,live_delivery,normal order; no manual override requested
ORD-10014,2025-12-09,CUST-0002,INVT-CRB-001,2,18,36,phone,true,live_delivery,rush requested against current route pressure
ORD-10014,2025-12-09,CUST-0002,INVT-SHR-001,3,34,102,phone,true,live_delivery,rush requested against current route pressure
ORD-10014,2025-12-09,CUST-0002,INVT-SHR-003,5,48,240,phone,true,live_delivery,rush requested against current route pressure
ORD-10015,2026-01-03,CUST-0002,INVT-CRB-001,3,18,54,web,false,live_delivery,normal order; no manual override requested
ORD-10016,2026-01-17,CUST-0002,FISH-WRS-001,1,42,42,concierge,false,live_delivery,normal order; no manual override requested
ORD-10016,2026-01-17,CUST-0002,FISH-TRG-001,1,149,149,concierge,false,live_delivery,normal order; no manual override requested
ORD-10016,2026-01-17,CUST-0002,CORL-MSH-001,1,68,68,concierge,false,live_delivery,normal order; no manual override requested
ORD-10017,2026-01-22,CUST-0002,INVT-CRB-001,2,18,36,phone,false,live_delivery,normal order; no manual override requested
ORD-10017,2026-01-22,CUST-0002,CORL-TOR-001,1,164,164,phone,false,live_delivery,normal order; no manual override requested
ORD-10017,2026-01-22,CUST-0002,EQUIP-DOS-001,1,214,214,phone,false,live_delivery,normal order; no manual override requested
ORD-10018,2026-01-29,CUST-0002,EQUIP-ALR-001,1,62,62,phone,false,live_delivery,normal order; no manual override requested
ORD-10019,2026-02-08,CUST-0002,INVT-SHR-001,3,34,102,email,false,live_delivery,normal order; no manual override requested
ORD-10020,2026-02-19,CUST-0002,INVT-SHR-003,1,48,48,phone,false,live_delivery,normal order; no manual override requested
ORD-10020,2026-02-19,CUST-0002,FISH-TNG-001,1,98,98,phone,false,live_delivery,normal order; no manual override requested
ORD-10021,2026-03-22,CUST-0002,CORL-ANO-001,2,132,264,web,false,live_delivery,customer asked whether current tank maturity is enough for anemone
ORD-10021,2026-03-22,CUST-0002,CORL-TOR-001,1,164,164,web,false,live_delivery,customer asked whether current tank maturity is enough for anemone
ORD-10022,2025-12-26,CUST-0003,FISH-WRS-001,1,42,42,web,false,service_visit,compatibility consult added before purchase confidence was high enough
ORD-10022,2025-12-26,CUST-0003,SERV-CNS-001,1,90,90,web,false,service_visit,compatibility consult added before purchase confidence was high enough
ORD-10023,2026-01-11,CUST-0003,SERV-CNS-001,1,90,90,concierge,false,service_visit,compatibility consult added before purchase confidence was high enough
ORD-10023,2026-01-11,CUST-0003,INVT-SHR-001,6,34,204,concierge,false,service_visit,compatibility consult added before purchase confidence was high enough
ORD-10024,2026-01-29,CUST-0003,EQUIP-ATO-001,1,148,148,phone,false,service_visit,compatibility consult added before purchase confidence was high enough
ORD-10024,2026-01-29,CUST-0003,INVT-SHR-001,3,34,102,phone,false,service_visit,compatibility consult added before purchase confidence was high enough
ORD-10024,2026-01-29,CUST-0003,FISH-GRM-001,1,36,36,phone,false,service_visit,compatibility consult added before purchase confidence was high enough
ORD-10024,2026-01-29,CUST-0003,SERV-CNS-001,1,90,90,phone,false,service_visit,compatibility consult added before purchase confidence was high enough
